camera_site,filename,class_id,prob,class_name,count,rand_name,conf,expert_updated,event,timestamp,flash_fired
cam_1,I__00045-0.JPG,8,0.99503976,superb_lyrebird,1,GMBGLOYKbldNVAuQ.JPG,0.968,0,24,23/08/2023 17:06:18,1
cam_1,I__00046-0.JPG,8,0.76316,superb_lyrebird,1,FDN6WCZNM0d8Olth.JPG,0.845,0,25,24/08/2023 12:12:42,0
cam_1,I__00047-0.JPG,1,0.9931967,tasmanian_pademelon,1,Khr7jHHeQBBLR5KK.JPG,0.961,0,26,27/08/2023 17:42:32,1
cam_1,I__00048-0.JPG,8,0.98034793,superb_lyrebird,1,EpG4zGcHBH4pN8aC.JPG,0.803,0,27,6/09/2023 11:05:26,0
cam_1,I__00049-0.JPG,1,0.99284923,tasmanian_pademelon,1,6WHG8p6iWlyUCqv5.JPG,0.963,0,28,6/09/2023 13:55:56,0
cam_1,I__00050-0.JPG,1,0.97737837,tasmanian_pademelon,1,4AQhBfxgV2RoGgmG.JPG,0.977,0,28,6/09/2023 13:56:32,0
cam_1,I__00051-0.JPG,1,0.98111224,tasmanian_pademelon,1,vbSaBOIXBz45Op55.JPG,0.964,0,28,6/09/2023 13:57:28,0
cam_1,I__00052-0.JPG,8,0.996093,superb_lyrebird,1,sHQlLP4sUUzuX3Na.JPG,0.948,0,29,6/09/2023 14:20:50,0
cam_1,I__00053-0.JPG,8,0.99258435,superb_lyrebird,1,ED8Hjwp0vitJ2btz.JPG,0.964,0,30,7/09/2023 15:50:10,0
cam_1,I__00054-1.JPG,0,0.6274368,unknown_animal,2,sv5v7FBIATvT8sU1.JPG,0.197,0,31,7/09/2023 15:57:00,0
cam_1,I__00055-0.JPG,1,0.9942873,tasmanian_pademelon,1,MlKEPP5FgNPLDEAa.JPG,0.928,0,32,7/09/2023 16:50:58,1
cam_1,I__00056-0.JPG,1,0.99463516,tasmanian_pademelon,1,05wivBDyXnszlvcH.JPG,0.932,0,33,8/09/2023 10:15:38,0
cam_1,I__00057-0.JPG,1,0.9968861,tasmanian_pademelon,1,pvxOe9hj6J3ZuhxA.JPG,0.918,0,33,8/09/2023 10:16:36,0
cam_1,I__00059-0.JPG,8,0.9453612,superb_lyrebird,1,rUsp8WwIEIM9aak1.JPG,0.975,0,34,18/09/2023 6:48:16,1
cam_1,I__00060-0.JPG,1,0.8963998,tasmanian_pademelon,1,UkH2Fo8PJnczQwhR.JPG,0.956,0,35,18/09/2023 8:57:34,0
cam_1,I__00061-0.JPG,8,0.9804689,superb_lyrebird,1,SgzJwQwgLxkyZpZJ.JPG,0.87,0,36,22/09/2023 9:29:22,0
cam_1,I__00062-0.JPG,8,0.9950653,superb_lyrebird,1,Um40vvrtImZahsQB.JPG,0.765,0,37,24/09/2023 9:49:20,0
cam_1,I__00063-0.JPG,12,0.99879956,short_beaked_echidna,1,ExUObm4Q9cTPkRpl.JPG,0.696,0,38,25/09/2023 20:38:30,1
cam_1,I__00064-0.JPG,8,0.9606121,superb_lyrebird,1,M63AV0aaHfH4O39H.JPG,0.807,0,39,26/09/2023 10:04:18,0
cam_1,I__00065-0.JPG,8,0.9939805,superb_lyrebird,1,qhvC42GKAQhJ8LIn.JPG,0.931,0,40,26/09/2023 10:12:56,0
cam_1,I__00066-0.JPG,1,0.9958423,tasmanian_pademelon,1,Ah2duzayqGsWxseI.JPG,0.958,0,41,26/09/2023 16:59:42,0
cam_1,I__00067-0.JPG,8,0.8486451,superb_lyrebird,1,FECbWC0YtJqYVqaw.JPG,0.225,0,42,29/09/2023 10:13:32,0
cam_1,I__00068-0.JPG,8,0.9943804,superb_lyrebird,1,N4PFeb6WFSflhG0X.JPG,0.972,0,42,29/09/2023 10:14:02,0
cam_1,I__00069-0.JPG,8,0.99008006,superb_lyrebird,1,b8PLmjAdOizv8stm.JPG,0.959,0,43,29/09/2023 14:44:24,0
cam_1,I__00070-0.JPG,1,0.98594475,tasmanian_pademelon,1,PnvzPcQGnFYJj8xh.JPG,0.95,0,44,29/09/2023 15:04:50,0
cam_1,I__00071-0.JPG,1,0.9887213,tasmanian_pademelon,1,vcXX49p4QVMHvIIS.JPG,0.971,0,44,29/09/2023 15:05:20,0
